destination,country/city
Da Gairdins i Sand,Scotland
Bonhoga Gallery,Scotland
Hermaness National Nature Reserve,Scotland
Brough of Birsay,Scotland
Hugh Miller’s Cottage & Museum,Scotland
Fortrose Cathedral,Scotland
Croick,Scotland
Grey Cairns of Camster,Scotland
Northwest Highlands Geopark,Scotland
Beinn Eighe Visitor Centre,Scotland
Eas a’Chual Aluinn,Scotland
Isle of Harris Distillery,Scotland
Uig Museum,Scotland
Callanish Standing Stones,Scotland
Iron Age House,Scotland
Blackhouse Museum,Scotland
Dunrobin Castle,Scotland
Dunvegan Castle,Scotland
Culloden Visitor Centre,Scotland
Eilean Donan Castle,Scotland
Commando Memorial,Scotland
Trea­sures of the Earth,Scotland
Bright Water Visitor Centre,Scotland
Kyle Line Museum,Scotland
Glenesk Retreat & Folk Museum,Scotland
Cairngorm Mountain Railway,Scotland
Kilchurn Castle,Scotland
Scottish Crannog Centre,Scotland
Blair Castle,Scotland
Castle Stalker,Scotland
Lagg Distillery,Scotland
King's Cave,Scotland
Bonawe Iron Furnace,Scotland
Isle of Arran Distillery,Scotland
Brodick Castle,Scotland
Springbank,Scotland
Tat Leuk,Laos
Beihai Tunnel,Taiwan
National Human Rights Museum,Taiwan
Luye Plateau,Taiwan
Bulowan,Taiwan
Shihtiping Geopark,Taiwan
Nanzhuang Village,Taiwan
Moonlight Inn,Taiwan
Gospa Gusarica,Croatia
Bukovac House,Croatia
Maokong Gondola,"Taiwan,Taipei,Taipei's Suburbs"
Proizd,Croatia
Tvrdalj,Croatia
Pržina,Croatia
National Human Rights Museum,"Taiwan,Taipei,Taipei's Suburbs"
Wuling Farm,Taiwan
Church of the Assumption,Croatia
Blaca Hermitage,Croatia
Punta Rata,Croatia
Agroturizam Ktelanac,Croatia
Kornati National Park,Croatia
Issa Archaeological Museum,Croatia
Krka Monastery,Croatia
Zlatni Rat,Croatia
St Mary’s Church,Croatia
Plitvice Lakes National Park,Croatia
Paradise Beach,Croatia
St Lucy's Church,Croatia
Supetar Cemetery,Croatia
Church of the Blessed Virgin,Croatia
Beli Beach,Croatia
Motovun: A History in Motion,Croatia
St Blaise’s Church,Croatia
Trg Frane Petrića,Croatia
Plaža Girandella,Croatia
"Church of Sts Vitus, Modest & Crescentia",Croatia
Morosini-Grimani Castle,Croatia
Aqua Iasae,Croatia
Hai-Bar Yotvata Nature Reserve,Israel
City Museum,Croatia
Baroque Church & Franciscan Monastery,Croatia
Ein Bokek Beach,Israel
Žumberak Samoborsko Gorje Nature Park,Croatia
Open Museum of Photography,Israel
Golan Archaeological Museum,Israel
Old Town,Israel
Tzipori National Park,Israel
Cana Greek Orthodox Wedding Church & Monastery,Israel
Nahal Iyyun Nature Reserve,Israel
Beit Oliphant,Israel
Janco–Dada Museum,Israel
Housesteads Roman Fort & Museum,England
Pura Ulun Danu Bratan,Indonesia
Tishbi Winery,Israel
Castle Rushen,England
Needles Old & New Battery,England
Zennor Hill,England
Malham Cove,England
Halangy Down,England
Pura Dalem Sidan,Indonesia
Bali Bird Park,Indonesia
Orford Ness,England
Kerobokan Beach,Indonesia
Marina della Lobra,Italy
Spiaggia Palinuro,Italy
Fiordo di Furore,Italy
Marina di Praia,Italy
Green Bowl Beach,Indonesia
Bodegas Castell Miquel,Spain
Coves de Campanet,Spain
Playa Blanca,Costa Rica
Reserva Playa Tortuga,Costa Rica
Punta Catedral,Costa Rica
Arenal EcoZoo,Costa Rica
Llanos de Cortés,Costa Rica
Churning of the Ocean of Milk,Cambodia
Catarata del Toro & the Blue Falls,Costa Rica
Atenas Railway Museum,Costa Rica
Danau Habbema,Indonesia
Museum Loka Budaya,Indonesia
Tugu MacArthur,Indonesia
Benteng Revenge,Indonesia
Benteng Hollandia,Indonesia
Pulau Mansinam,Indonesia
Bayon,Cambodia
Ambarawa Train Station Museum,Indonesia
Weekuri Lagoon,Indonesia
Manusela National Park,Indonesia
Muesum Pinawetengan,Indonesia
Air Terjun Piala & Laumarang,Indonesia
Benteng Otanaha,Indonesia
Air Terjun Saluopa,Indonesia
Tanjung Api,Indonesia
Danau Tempe,Indonesia
Museum Lapawawoi,Indonesia
Pantai Bara,Indonesia
Air Terjun Oehala,Indonesia
Maslete Village,Indonesia
Kelimutu National Park,Indonesia
Seventeen Islands Marine Park,Indonesia
Pantai Mawan,"Indonesia,Nusa Tenggara"
Air Terjun Sindang Gila,Indonesia
Air Terjun Kelelawar,Indonesia
Pulau Sikandang,Indonesia
Fort Marlborough,Indonesia
Banyu Wana Amertha Waterfalls,"Indonesia,Bali"
Pura Kehen,Indonesia
Puri Agung Karangasem,Indonesia
Pemuteran Beach,Indonesia
Goa Gajah,Indonesia
Symon Studios,Indonesia
Pasifika Museum,Indonesia
Jimbaran Fish Market,Indonesia
Pura Dalem Ning Lan Taman Beji,Indonesia
Bingin Beach,Indonesia
Sadengan,Indonesia
Glenmore Plantation,Indonesia
Pulau Tabuhan,Indonesia
Permisan Bay,Indonesia
Hotel Tugu Malang,Indonesia
Candi Jabung,Indonesia
Makam Bung Karno,Indonesia
Museum RA Kartini,Indonesia
Songgoriti,Indonesia
Trowulan Museum,Indonesia
Picnic Dodol Factory,Indonesia
Sunan Kudus Tomb,Indonesia
Gunung Merapi National Park,Indonesia
Kebun Raya Cibodas,Indonesia
Grojogan Sewu,Indonesia
Cala Mondragó,Spain
Cala Llombards,Spain
Cap de Ses Salines,Spain
Coves del Drac,Spain
Capocorb Vell,Spain
Castell de Capdepera,Spain
Coves d’Artà,Spain
Museu Arqueològic de Son Fornés,Spain
Natura Parc,Spain
Bodegas Macià Batle,Spain
Can Planes,Spain
Casa-Museu Llorenç Villalonga,Spain
Museu Fra Juníper Serra,Spain
Ermita de Santa Magdalena,Spain
Platja de Sa Canova,Spain
Cala Tuent,Spain
Pollèntia,Spain
Monestir de Lluc,Spain
Forteresse Royale de Najac,France
Plaça d’Espanya,Spain
Moulin à Huile Jullien,France
Tour de Nonza,"France,Corsica"
Basilique de St-Julien,France
Église St-Joseph,France
Fontaines Pétrifiantes,France
Jardins de Marqueyssac,France
Platja des Coll Baix,Spain
Avize Viti Campus,France
La Granja,Spain
Casa Robert Graves,Spain
Atelier Renoir,France
Abbaye de Clairvaux Monastery,France
Palma Aquarium,Spain
Palau de l'Almudaina,Spain
Illa de Sa Dragonera,Spain
Fundació Pilar i Joan Miró,Spain
Coves de Gènova,Spain
Monfort Bat Cave,Philippines
Tabon Caves,Philippines
Museo Dabawenyo,Philippines
Weather Station,Philippines
Divinubo Island,Philippines
Paliton Beach,Philippines
Lake Danao Natural Park,Philippines
Lamanok Island,Philippines
Bakhawan EcoPark,Philippines
Fort San Andres,Philippines
Baslay Hot Springs,Philippines
Casaroro Falls,Philippines
Hofileña Heritage House,Philippines
Cadimahan,Philippines
Navalas,Philippines
Mactan Shrine,Philippines
Paradise Beach,Philippines
Tulang Island,Philippines
Sablayan Prison Farm & Rainforest,Philippines
Luyang Cave,Philippines
Bait Market,Philippines
Mangyan Heritage Center,Philippines
Museo de Baler,Philippines
Church of San Juan Bautista,Philippines
Julia Campbell Agroforest Memorial Park,Philippines
Blue Lagoon,Philippines
Paoay Church,Philippines
Bontoc Museum,Philippines
Church of St James,Philippines
Timbac Caves,Philippines
People’s Park in the Sky,Philippines
Battle of Bataan Museum,Philippines
Boldt Castle,Canada
San Luis Obispo Parish Church,Philippines
Virginia Falls,Canada
Morningstar Farm,"Canada,British Columbia"
Salt Plains Lookout,Canada
Cumberland Museum,"Canada,British Columbia"
Fortune Head Geology Centre,Canada
Newfoundland Pony Sanctuary,Canada
Mirador Salto del Gitano,Spain
Iglesia de Nuestra Señora de la Asunción & Museo Parroquial,Spain
Playa de Laida,"Spain,Basque Country"
Factoría Romana de Salazones,Spain
Praia das Rodas,Spain
Bodega Castro Rei,Spain
Playa de Berria,"Spain,Cantabria"
Illes Medes,Spain
Església de Sant Esteve,Spain
Castell de Begur,Spain
Parc Natural dels Aiguamolls de l’Empordà,Spain
Villa Romana La Olmeda,Spain
Luskentyre,Scotland
Acueducto,Spain
Applecross Heritage Centre,Scotland
Orkneyinga Saga Centre,Scotland
Sumburgh Head Visitor Centre,Scotland
Kinloch Castle,Scotland
Dunnet Head,Scotland
Highland Wildlife Park,Scotland
Castle of Mey,Scotland
Achamore Gardens,Scotland
RSPB Loch Garten Osprey Centre,Scotland
Meigle Museum,Scotland
Heart of Argyll Wildlife Organisation,Scotland
Skipness Castle,Scotland
Kniivilä,Finland
Kagyu Samye Ling,Scotland
Korpo kyrka,Finland
Närpes Church,Finland
Villa Mairea,Finland
Örö Fortress,Finland
Reposaari,Finland
Nagu kyrka,Finland
Linnansaari National Park,Finland
Kustavin Kirkka,Finland
Valamon Luostari,Finland
Fiskars Museum,Finland
Big Talbot Island State Park,"USA,Florida"
Bob Wills Museum,"USA,Texas"
Wizarding World of Harry Potter,"USA,Florida"
Venice Beach,"USA,Florida"
Elliott Museum,"USA,Florida"
Frontier Texas!,"USA,Texas"
Fort McKavett State Historical Park,"USA,Texas"
Big Spring State Park,"USA,Texas"
Target Marathon,"USA,Texas"
Permian Basin Petroleum Museum,"USA,Texas"
Barton Warnock Visitor Center,"USA,Texas"
Republic of the Rio Grande Museum,"USA,Texas"
Aztec Theater,"USA,Texas"
Permian High School,"USA,Texas"
Val Verde Winery,"USA,Texas"
Sabal Palm Sanctuary,"USA,Texas"
"Sea Turtle, Inc","USA,Texas"
Museum of South Texas History,"USA,Texas"
Old Victoria County Courthouse,"USA,Texas"
Goose Island State Park,"USA,Texas"
Museum of the Gulf Coast,"USA,Texas"
Aransas National Wildlife Refuge,"USA,Texas"
Caddo Lake State Park,"USA,Texas"
Spindletop & Gladys City Boomtown Museum,"USA,Texas"
Enoch's Stomp,"USA,Texas"
San José Island,"USA,Texas"
Oak Grove Cemetery,"USA,Texas"
Enchanted Rock State Natural Area,"USA,Texas"
Sam Houston Memorial Museum,"USA,Texas"
Wittliff Collections,"USA,Texas"
George Bush Presidential Library & Museum,"USA,Texas"
Bella Vista Ranch,"USA,Texas"
Louise Hays City Park,"USA,Texas"
Talisker Distillery,Scotland
Spar Cave,Scotland
Torabhaig Distillery,Scotland
Cave Without a Name,"USA,Texas"
Strathnaver Museum,Scotland
Inverewe Garden,Scotland
Glenmorangie,Scotland
Glenfinnan Station Museum,Scotland
Tarbat Discovery Centre,Scotland
Falls of Shin,Scotland
Ardnamurchan Lighthouse,Scotland
An Cridhe,Scotland
Iona Abbey,Scotland
"Land, Sea & Islands Visitor Centre",Scotland
Skerryvore Lighthouse Museum,Scotland
Glengorm Castle,Scotland
Ardalanish Weavers,Scotland
Duart Castle,Scotland
Benmore Botanic Garden,Scotland
Loch Lomond & the Trossachs National Park,Scotland
Macquarie Mausoleum,Scotland
Findhorn Foundation,Scotland
Fordyce,Scotland
Grampian Transport Museum,Scotland
Edzell Castle,Scotland
House of Dun,Scotland
Huntly Castle,Scotland
Broughty Castle Museum,Scotland
Discovery Point,Scotland
Wat Tha Ton,"Thailand,Chiang Mai Province"
Duff House,Scotland
Queen’s View Visitor Centre,Scotland
MacDiarmid Memorial,Scotland
Heart of Hawick,Scotland
Gamlabúð,Iceland
Aldeyjarfoss,Iceland
Eggin í Gleðivík,Iceland
Hafnarhólmi,Iceland
Laki,Iceland
Lómagnúpur,Iceland
Fólkvangur Neskaupstaðar,Iceland
Íslenska Stríðsárasafnið,Iceland
Helgustaðanáma,Iceland
Leirhnjúkur,Iceland
Dimmuborgir,Iceland
Dimmuborgir,"Iceland,North Iceland"
Skútustaðagígar,Iceland
Lystigarðurinn,Iceland
Reykjahlíð Church,Iceland
Cathedral,Iceland
Museum of Icelandic Sorcery & Witchcraft,Iceland
Textile Museum,Iceland
Drangey,Iceland
Kört,Iceland
Westfjords Heritage Museum,Iceland
Dynjandi,Iceland
Rauðasandur,Iceland
Kirkjufell,Iceland
Erpsstaðir,Iceland
Settlement Centre,Iceland
Reynisfjara,Iceland
Pakkhúsið,Iceland
Rauðfeldsgjá,Iceland
Skógafoss,Iceland
Akranes Folk Museum,Iceland
Bobby Fischer Center,Iceland
Nauthusagil,Iceland
Draugasetrið,Iceland
Flói Nature Reserve,Iceland
Geothermal Park,Iceland
Stöng,Iceland
Slakki Petting Zoo,Iceland
Seltún,Iceland
Víkingaheimar,Iceland
Strokkur,Iceland
Kvíkan,Iceland
Menningarmiðstoð Kópavogs,Iceland
Anse d'Azur,Haiti
Parque Nacional Lago Enriquillo & Isla Cabritos,Dominican Republic
Grotte Marie Jeanne,Haiti
Haitian Market,Dominican Republic
Casa Museo Hermanas Mirabal,Dominican Republic
El Corral de los Indios,Dominican Republic
Santo Cerro,Dominican Republic
Parque Nacional la Isabela,Dominican Republic
El Morro,Dominican Republic
Sendero del Cacao,Dominican Republic
Cueva de las Maravillas,Dominican Republic
Basilica de Nuestra Señora de la Altagracia,Dominican Republic
Parque Nacional Submarino La Caleta,Dominican Republic
Casa Ponce de León,Dominican Republic
Ape Cave,USA
Isla Saona,Dominican Republic
Monumento Natural Dunas de las Calderas,Dominican Republic
Pinball Museum,"Hungary,Budapest"
Pouheva,
"Marae Raitoro, Haunarei & Harii",
Motu Manu,
Hanahevane Bay,
Iipona,
Les Sables Roses,
Tetahuna,
Hakahau Bay,
Maui Beach,
Joe Dassin Beach,
Central Market,
León Dormido,Ecuador
Jorupe Reserve,Ecuador
Volcán Alcedo,Ecuador
Interpretation Center,Ecuador
Museo Historico de Montecristi,Ecuador
Reserva Ecologico Jama-Coaque,Ecuador
San Francisco Bakery,Ecuador
Reserva Buenaventura,Ecuador
Reserva Ecológica Manglares Churute,Ecuador
Reserva de Producción de Fauna Chimborazo,Ecuador
Congal Bio-Station,Ecuador
Reserva Ecológico de Manglares Cayapas-Mataje,"Ecuador,North Coast & Lowlands"
Refugio de Vida Silvestre Pasochoa,Ecuador
Parque Botánico,Ecuador
Reserva Biológica Jatun Sacha,Ecuador
Las Lagunas,Ecuador
Templo de Lourdes,Ecuador
Refugio Ecológico Tzanka,Ecuador
Ingapirca,Ecuador
Thursday Market,Ecuador
Quebrada de Jaspe,Venezuela
Reserva Ecológica El Ángel,Ecuador
Parque Nacional Cotopaxi,Ecuador
Campo Carabobo,Venezuela
Trapiche,Venezuela
Mercado Indígena,Venezuela
Iglesia de San José de Tucupita,Venezuela
Chocolates Paria,Venezuela
Museo de las Culturas,Ecuador
Lago Tarapoto,Colombia
Quitsato,Ecuador
Playa Olímpica,Colombia
Museo Paleontológico,Colombia
Isla Corota,Colombia
Mercado de Silvia,Colombia
Hacienda Venecia,Colombia
Jardín Botánico del Quindío,Colombia
Museo Arqueológico Calima,Colombia
Museo de Arte de Pereira,Colombia
Catedral de Manizales,Colombia
Reserva Natural Cañon de Río Claro,Colombia
Isla Múcura,Colombia
Museo del Caribe,Colombia
Iglesia de Santa Bárbara,Colombia
Isla Grande,Colombia
Santuario de Fauna y Flora Los Flamencos,Colombia
Museum of Paleontology & Archaeology,Colombia
Pilón de Azúcar,Colombia
Parque Unipraias,Brazil
Catedral de Sal,Colombia
Museo Pomerano,Brazil
Vinícola Almaúnica,Brazil
Wiñay Wayna,Peru
Parque Estadual Serra do Intendente,Brazil
Parque Nacional da Serra do Cipó – Portaria Areias,Brazil
Isla Amantaní,Peru
Huánuco Viejo,Peru
Templo de Viracocha,Peru
Parque Nacional Bahuaja-Sonene,Peru
Morro de Calzada,Peru
Kuélap,Peru
Catarata Bayoz,Peru
Abra Patricia-Alto Nieva Private Conservation Area,Peru
Museo Leimebamba,Peru
Parque Nacional Yanachaga-Chemillén,Peru
Santuario de Mama Ashu,Peru
Hacienda Concepción Research Center,Peru
Laguna Purhuay,Peru
Cañón del Pato,Peru
Campo Santo,Peru
Puemape,Peru
Caral,Peru
Sechín,Peru
Santuario Nacional Huayllay,Peru
Camino del Inca,Peru
Sondor,Peru
Nuestra Señora de la Asunción,Peru
Templo de Pomata Santiago Apóstolo,Peru
Iglesia de San Pedro,Peru
Mercado de Chinchero,Peru
Templo de la Fertilidad,Peru
Iglesia de Santiago Apostol,Peru
Isla Taquile,Peru
Kalasaya,Peru
Puerto Inca,Peru
Casa-Hacienda San José,Peru
Cañón del Cotahuasi,Peru
Museo Municipal de Sitio Mallqui,Peru
El Castillo de Forga,Peru
Catapalla,Peru
Lagoons,Peru
Centro de Visitantes Ses Salines,Spain
Cala Marçal,Spain
Safari-Zoo,Spain
Museu de Gordiola,Spain
Platja de Ses Covetes,Spain
Convent de la Concepció,Spain
Platja de la Colònia de Sant Pere,Spain
Cova de Sant Martí,Spain
Cala d’Estellencs,Spain
Castell d'Alaró,Spain
Església de Sant Mateu,Spain
Finca Pública de Son Real,Spain
Torre des Verger,Spain
Castell de Son Mas,Spain
Cala Llamp,Spain
Cueva de los Letreros,"Spain,Andalucía"
Iglesia de San Lorenzo,Mexico
Punta Norte,Argentina
Santa Rosa Xtampak,Mexico
Parroquia de San Antonio de Padua,Mexico
Museo Arqueológico del Camino Real,Mexico
Barrio de las Cuevas,"Spain,Andalucía"
Museo El Castillo,Argentina
Plaza Mayor,"Spain,Andalucía"
Necrópolis Romana,"Spain,Andalucía"
Virgen de la Peña,"Spain,Andalucía"
Almazara Núñez de Prado,"Spain,Andalucía"
Guru Rinpoche Statue,Nepal
Arapaho National Wildlife Refuge,USA
Cappella Brancacci,"Italy,Florence"
Galleria degli Uffizi,"Italy,Florence"
Saat Tale Durbar,Nepal
Museo Histórico Municipal,"Spain,Andalucía"
Ilam View Tower,Nepal
Basilica di Santa Maria Novella,"Italy,Florence"
Parque Nacional Archipiélago Juan Fernández,Chile
Basilica di Santa Croce,"Italy,Florence"
Museo di San Marco,"Italy,Florence"
Mirador Cerro Vijía,Chile
Capilla de Mármol,Chile
Reserva Nacional Tamango,Chile
Casa de la Cultura,Chile
La Confluencia,Chile
Palazzo Pitti,"Italy,Florence"
Parque Natural Karukinka,Chile
Parque Nacional Hornopirén,Chile
Fábrica de Alfombras,Chile
Muelle de la Luz,Chile
Parque Tagua-Tagua,Chile
Museo Intercultural Trawupeyüm,Chile
Museo de Puerto Octay,Chile
Parque Nacional Bosques de Fray Jorge,Chile
Reserva Nacional Pingüino de Humboldt,Chile
Pan de Azúcar,Chile
Parque Nacional Nevado Tres Cruces,Chile
Cemetery,Chile
Chuquicamata,Chile
Valle de la Luna,Chile
Parque Nacional Laguna del Laja,Chile
Parque Nacional Nahuelbuta,Chile
Reserva Nacional Altos de Lircay,Chile
Parque Nacional Radal Siete Tazas,Chile
Museo Ex Ballenera,Chile
Cabo Raj Bhavan,"India,Goa"
Parque Nacional La Campana,Chile
Parque Botánico Isidora Cousiño,Chile
Savoi Plantation,"India,Goa"
Colonial Michilimackinac,USA
Pulau Balambangan,Malaysia
Mount Washington Observatory Weather Discovery Center,USA
Cardrona Distillery,New Zealand
St Stephen's Church,New Zealand
Cobblestones Museum,New Zealand
Goldfields Heritage Centre,New Zealand
Schubert Wines,New Zealand
Our Lady of Lourdes Statue,New Zealand
Putangirua Pinnacles,New Zealand
Gannet Colony,New Zealand
Queen Elizabeth Park,New Zealand
Fun Ho! National Toy Museum,New Zealand
Pukorokoro Miranda Shorebird Centre,New Zealand
Wairere Boulders Nature Park,New Zealand
Village Arts,New Zealand
Tunnel Creek,"Australia,Western Australia"
Eyre Bird Observatory,"Australia,Western Australia"
Head of Bight,"Australia,South Australia"
Bird Billabong,"Australia,Northern Territory"
Ocean Beach,"Australia,Tasmania"
Batchelor Market,"Australia,Northern Territory"
Clarendon,"Australia,Tasmania"
Delamere Vineyards,"Australia,Tasmania"
Mr Mick,"Australia,South Australia"
Tamar Ridge,"Australia,Tasmania"
Low Head Maritime Museum,"Australia,Tasmania"
Bass & Flinders Centre,"Australia,Tasmania"
Recherche Bay,"Australia,Tasmania"
Pagan Cider,"Australia,Tasmania"
Santa Elena Museum,Mexico
Westbury Maze,"Australia,Tasmania"
Marineland Crocodile Park,"Australia,Queensland,Cairns,Cairns Hinterland & Islands"
Kangla Fort,"India,Manipur"
Balpakram National Park,India
Templo de San Juan,Mexico
Kangla Fort,India
Villa Luz,Mexico
El Árbol del Tule,Mexico
Museo El Café-tal Apan,Mexico
Ex-Convento de Santo Domingo,Mexico
Centro de Protección & Conservación de la Tortuga Marina en Chiapas,Mexico
Cascada de Texolo,Mexico
Museo de la Guitarra,Mexico
Peña de Bernal,Mexico
Playa Tecolutla,Mexico
Casa de Cortés,Mexico
Mission Church,Mexico
Iglesia de San Pancho,Mexico
Museo Virreinal de Guadalupe,Mexico
Los Cazos,Mexico
Ex-Hacienda Nogueras,Mexico
Museo Arqueológico de Ciudad Guzmán,Mexico
Jor Bangla Temple,India
Kamadgiri,"India,Uttar Pradesh"
Bijli Mahadev Temple,India
Mulbekh Castle Site,India
Ixtapan Parque Acuático,Mexico
Pantai Pasir Panjang,Malaysia
Khartse Khar Buddha,India
Mirador Las Torres,"Chile,Southern Patagonia"
Great Cave,"Malaysia,Sarawak"
Parque Nacional Lanín,Argentina
Museo Unión Vecinal Calingasta,Argentina
Museo Jesuítico Nacional de Jesús María,Argentina
Centro de Interpretación Molinos,Argentina
Iglesia de San Francisco de Asís,Argentina
Iglesia de Uquía,Argentina
Cayastá Ruins,Argentina
Sepilok Orangutan Rehabilitation Centre,"Malaysia,Sabah"
Pantai Cahaya Bulan,Malaysia
Pantai Seri Kenangan,Brunei Darussalam
Clifford School,Malaysia
Istana Leban Tunggal,Malaysia
Gua Charas,Malaysia
Gunung Ledang National Park,Malaysia
Royal Customs and Excise Building,Malaysia
Cape Rachado Forest Reserve,"Malaysia,Negeri Sembilan"
Sansheng Gong,"Malaysia,Negeri Sembilan"
Muzium Negeri Sembilan,"Malaysia,Negeri Sembilan"
Masjid Zahir,Malaysia
Istana Lama,"Malaysia,Negeri Sembilan"
Kota Kuala Kedah,Malaysia
Muzium Perak,Malaysia
Muzium Kota Kayang,Malaysia
Sansheng Gong,Malaysia
Sultan Azlan Shah Gallery,Malaysia
Matang Mangrove Forest Reserve,Malaysia
Kellie’s Castle,Malaysia
Ramayana Cave,Malaysia
Bukit Malawati,Malaysia
Bird Interpretive Centre,Malaysia
Chiling Waterfalls,Malaysia
Fort King George,
Macqueripe Beach,
Tobago Forest Reserve,
Mt Irvine Hotel Beach,
Little Tobago,
Arlington House,Barbados
Beausejour Bay,Grenada
Magazine Beach,Grenada
Sandy Beach,Barbados
Rockley Beach,Barbados
Plage Anse d'Arlet,Martinique
Mémorial Cap 110,Martinique
Princess Margaret Beach,
Trois-Rivières Distillery,Martinique
Grande Anse,Guadeloupe
Anse Mitan,Martinique
Plage de la Caravelle,Guadeloupe
Anse l'Etang,Martinique
Scotts Head Point,Dominica
Grand Cul-de-Sac Marin,Guadeloupe
Parc Archéologique des Roches Gravées,Guadeloupe
Edgar Clerc Archaeological Museum,Guadeloupe
Plage de Grand Cul-de-Sac,St-Barthélemy
Datcha Beach,Guadeloupe
Plage des Flamands,St-Barthélemy
Plage de Saline,St-Barthélemy
1780 Lower Estate Sugar Works Museum,British Virgin Islands
Plage de Lorient,St-Barthélemy
Baie Longue,
Petites Cayes,
Lindquist Beach,US Virgin Islands
Rendezvous Bay,Anguilla
Turks & Caicos National Museum,
Garden of the Groves,The Bahamas
Albert Lowe Museum,The Bahamas
Promenade de la Marinella,"France,Corsica"
Wyannie Malone Museum,The Bahamas
La Citadelle,France
Château Royal,France
Église St-Spyridon,"France,Corsica"
Fort Liberia,France
Aire du Viaduc de Millau,France
Noilly-Prat Factory,France
Bambouseraie de Prafrance,France
Musée International des Arts Modestes,France
Écluses de Fonseranes,France
Abbaye St-Pierre,France
Duché,France
Mont Aigoual Observatory,France
Magens Bay,US Virgin Islands
Centre National et Musée Jean Jaurès,France
Cathédrale St-Pierre,France
Grotte de Niaux,France
Parc Animalier des Pyrénées,France
Walled Town,France
Pic du Midi,France
Falaise aux Vautours,France
Phare des Baleines,France
Collégiale Notre Dame,France
Medieval Figeac,France
Phare du Cap Ferret,France
Grottes de l'Abbaye,France
Castle Ruins,France
Château de Pompadour,France
Cité Internationale de la Tapisserie,France
Plateau de Millevaches,France
Musée des Arts du Cognac,France
Musée des Beaux Arts,France
Chapelle St-Michel d'Aiguilhe,France
Musée Départemental d’Art Contemporain,France
Thermes du Mont-Dore,France
Musée de la Coutellerie,France
Maison de la Fourme d'Ambert,France
Roches Tuilière et Sanadoire,France
Musée Mandet,France
Basilique Notre-Dame,France
Grotte de Glace,France
Grotte de la Luire,France
Lion du Belfort,France
Abbaye d'Aulps,France
Bibracte,France
La Maison du Terroir Beaujolais,France
Musée Départemental de Préhistoire de Solutré,France
La Ferme de l'Adroit,France
Collégiale St-Lazare,France
Fosse Dionne,France
École Nationale d’Équitation,France
Abbaye de Pontigny,France
Musée du Pays Châtillonnais Trésor de Vix,France
Abbaye St-Germain,France
Volière des Cigognes Altavilloises,France
Cité Royale de Loches,France
Nausicaá,France
Abbatiale de la Ste-Trinité,France
Musée de Flandre,France
Gampo Abbey,Canada
Roosevelt Campobello International Park,"Canada,New Brunswick"
Forillon National Park,"Canada,Québec"
Metepenagiag Heritage Park,"Canada,New Brunswick"
Parc National de la Gaspésie,"Canada,Québec"
Cobequid Interpretive Centre,Canada
Algonquin Art Centre,"Canada,Ontario"
Parc National de la Pointe-Taillon,Canada
Sandbanks Provincial Park,Canada
Mississagi Provincial Park,Canada
Wellington County Museum,Canada
Bruce County Museum,Canada
Henry Blogg Museum,England
Tobique Salmon Barrier,Canada
Minsmere,England
Wells Beach,England
Gainsborough's House,England
Bude Sea Pool,England
Lamorna Cove,England
Audley End House & Gardens,England
Gortin Glen Forest Park,
Trevibban Mill,England
Caldragh Graveyard,
Belleek Pottery Visitor Centre,
Antrim Castle Gardens & Clotworthy House,
Glenariff Forest Park,
Castle Ward Estate,
Scrabo Tower & Country Park,
Titanic Belfast,Northern Ireland
Grey Abbey,
Cavan County Museum,Ireland
County Museum Dundalk,Ireland
Marble Arch Caves,
Kilbeggan Distillery Experience,Ireland
Rathcroghan,Ireland
Shannonbridge Fort,Ireland
Crawfordsburn Country Park,
Mountmellick Museum,Ireland
Donaghmore Workhouse,Ireland
Poisoned Glen,Ireland
Kinnitty High Cross,Ireland
Culdaff Beach,Ireland
Inishowen Maritime Museum & Planetarium,Ireland
Emo Court,Ireland
St John's Point,Ireland
Wat Kuhapimuk,Thailand
Salthill Gardens,Ireland
Wat Phayam,Thailand
Rossnowlagh Beach,Ireland
Wat Tham Khuha Sawan,Thailand
Ho Chi Minh House,Thailand
Wat Burapa Pa-Ao Nuea Museum,Thailand
Wat Nang Phaya,Thailand
Wat Phu Khao Kaew,"Thailand,Ubon Ratchathani Province"
Doi Phu Kha National Park,Thailand
Myrtos Museum,Greece
Caves of Keash,Ireland
Ballintubber Abbey,Ireland
Lackan Strand,Ireland
St Deirbhile's Well,Ireland
Belleek Castle,Ireland
Keem Bay Beach,Ireland
Burrishoole Abbey,Ireland
Dun Briste,Ireland
Clare Island Abbey,Ireland
Roundstone Musical Instruments,Ireland
Arts & Heritage Centre,Ireland
Balos,Greece
Golden Hind,England
Byzantine Museum,Greece
Castle Drogo,England
Moni Faneromenis,Greece
Manos & Anastasia Faltaïts Museum,Greece
Megalos Mourtias Beach,Greece
Alonnisos Museum,Greece
Cape Amarandos,Greece
National Marine Park of Alonnisos Northern Sporades,Greece
Vakratsa Mansion,Greece
Antoniou Family Olive Press,Greece
Skiathitiko Spiti,Greece
Montofoli Estate,Greece
Vriniotis Winery,Greece
Hiliadou Beach,Greece
Avantis Wine Estate,Greece
Ancient Eretria,Greece
Sanctuary of the Great Gods,Greece
Archaeological Museum,Greece
Moni Agios Nikolaos Galataki,Greece
Kampi,Greece
Eresos Archaeological Museum,Greece
Korais Library & Philip Argenti Museum,Greece
