destination,country
Dinefwr,Wales
Parke's Castle,Ireland
Glengoyne Distillery,Scotland
Banba's Crown,"Ireland,County Donegal"
Glebe House & Gallery,Ireland
Clyne Gardens,Wales
Aketajawe-Lolobata National Park,Indonesia
Baba House,Singapore
Aketajawe-Lolobata National Park,Indonesia
Pantai Marimbati,Indonesia
Slieve Bloom Mountains Nature Reserve,Ireland
Muckish Mountain,"Ireland,County Donegal"
Southern Ridges,Singapore
Benteng Torre,Indonesia
Skenfrith Castle,Wales
Chief’s House,Indonesia
Carrickfinn Beach,Ireland
Museum Pusaka Nias,Indonesia
Iniskeel Island,Ireland
Porthkerry Country Park,Wales
Sliabh Liag,"Ireland,County Donegal"
Maghera Strand,Ireland
Horn Head,"Ireland,County Donegal"
Gunung Api Gamalama,"Indonesia,Maluku"
Sliabh Liag,"Ireland,County Donegal"
National Botanic Garden of Wales,Wales
Gunung Api Gamalama,Indonesia
Sacred Eels of Waai,Indonesia
Dunguaire Castle,"Ireland,County Galway"
Thoor Ballylee,Ireland
Sheep & Wool Centre,Ireland
Cavan Burren Park,Ireland
Aillwee Cave,"Ireland,County Clare"
Calf of Man,England
Burren Perfumery & Floral Centre,Ireland
Monasterboice,Ireland
Galeri Diraja Sultan Abdul Aziz,Malaysia
Cairn T,Ireland
Cliffs of Moher Visitor Centre,"Ireland,County Clare"
Newgrange,Ireland
Hazel Mountain Chocolate,Ireland
Dooney Rock,Ireland
Carrick-a-Rede Rope Bridge,Northern Ireland
Yeats' Grave,Ireland
Carrowkeel Megalithic Cemetery,Ireland
Streedagh Strand,Ireland
Bay Museum,England
Ambunten,Indonesia
Glanteenassig Forest Recreation Area,"Ireland,County Kerry"
Bukit Tambun,Malaysia
Banna Strand,"Ireland,County Kerry"
Pamekasan,Indonesia
Bunratty Castle & Folk Park,"Ireland,County Clare"
Vandeleur Walled Garden,"Ireland,County Clare"
Sam Poh Footprint Temple,Malaysia
National Famine Memorial,Ireland
Interpretation Centre,Malaysia
Slieve Gullion Forest Park,
Granuaile Heritage Centre & Famine Exhibition,Ireland
Kilbroney Park,
Downhill Demesne,
Knocknarea Cairn,Ireland
Mesjid Agung,Indonesia
Easkey Castle,Ireland
Classiebawn Castle,Ireland
Murlough National Nature Reserve,
Magilligan Martello Tower,
Old City,Indonesia
Stadthuys,Malaysia
Liverpool Cathedral,England
Struell Wells,
Abbotsbury Swannery,England
White Island,
Wellbrook Beetling Mill,
Candi Sukuh,Indonesia
Mount Stewart,
Carrauntoohil,Ireland
Tout Quarry,England
Portobello Road Market,"England,London"
Oxford Island,
Warner Bros Studio Tour: The Making of Harry Potter,England
Ulster American Folk Park,
Penang National Park,Malaysia
Windsor Castle,England
Giant’s Causeway,
Lough Gur Heritage Centre,Ireland
Hampton Court Palace,"England,London"
Rock of Cashel,Ireland
Killarney National Park,Ireland
Kerry Bog Village Museum,Ireland
Milleens Cheese,"Ireland,County Cork"
Dennis Severs' House,"England,London"
Columbia Road Flower Market,"England,London"
Tomb of Sultan Agung,Indonesia
Gallu Bakul,Indonesia
Kampung Waigalli,Indonesia
St Mary's Church,Ireland
Kells Priory,Ireland
Air Terjun Waimarang,Indonesia
Pulau Ndao,Indonesia
Air Terjun Waimarang,Indonesia
Brading Roman Villa,England
Durham Cathedral,England
Gwenver Beach,England
Tate Modern,"England,London"
St Paul's Cathedral,"England,London"
Desa Takpala,Indonesia
St Mullins Monastery,Ireland
Westminster Abbey,"England,London"
Pantai Koka,Indonesia
Kawah Rengganis,Indonesia
Copper Coast Geopark,Ireland
Mizen Head Signal Station,"Ireland,County Cork"
Cley Marshes,England
Mara Farm,Ireland
Jameson Experience,"Ireland,County Cork"
Danau Mariona,Indonesia
Derwent Dam Museum,England
Mizen Head Signal Station,"Ireland,County Cork"
Honister Slate Mine,England
Charles Fort,"Ireland,County Cork"
Komodo National Park,Indonesia
Watendlath Tarn,England
Taupe,Indonesia
Museum Asi Mbojo,Indonesia
Pulau Tinabo Besar,Indonesia
Mata Jitu Waterfall,Indonesia
Air Terjun Takapala,Indonesia
Our Lady's Island,Ireland
Mesjid Agung,Indonesia
Hill Top,"England,Cumbria & the Lakes"
Hill Top,England
Conkers,England
National Museum of Ireland – Decorative Arts & History,"Ireland,Dublin"
Old Library & Book of Kells,"Ireland,Dublin"
Royal Belum State Park,Malaysia
Famine Memorial,"Ireland,Dublin"
Westminster Abbey,Europe
Lincoln Cathedral,England
St Canice's Cathedral,Ireland
Shugborough,England
Pantai Tempurung,Malaysia
Bario Asal Longhouse,Malaysia
Guinness Storehouse,"Ireland,Dublin"
Canterbury Cathedral,England
King's College Chapel,England
Pantai Tempurung,Malaysia
Eheng,Indonesia
Fort Sylvia,Malaysia
Mancong Longhouse,Indonesia
Sepilok Orangutan Rehabilitation Centre,Malaysia
Kundasang War Memorial,Malaysia
Kundasang War Memorial,Malaysia
Kompleks Muzium Negeri Terengganu,Malaysia
Lamin Batu Bura,Indonesia
Sibu Heritage Centre,Malaysia
Museum der Unerhörten Dinge,"Germany,Berlin"
Kilim Karst Geoforest Park,Malaysia
Longhouse Verandah,Malaysia
Batang Ai National Park,Malaysia
Interpretation Centre,Malaysia
Pulau Selirong Recreational Park,Brunei Darussalam
Bodegas Binifadet,Spain
Semenggoh Wildlife Centre,Malaysia
Cala en Turqueta,Spain
Labi Longhouses,Brunei Darussalam
Bodegas Binifadet,Spain
Cala Pregonda,Spain
Far de Favàritx,Spain
Castillo Roquero,Spain
Castillo de Belmonte,Spain
Ruinas Romanas de Valeria,Spain
Cuevas del Diablo,Spain
Nacimiento del Río Mundo,Spain
Ciudad Encantada,Spain
Pantai Batu Mejan,Indonesia
Castillo de Consuegra,Spain
Windmill Ticket Office,Spain
Pantai Batu Bolong,Indonesia
Parc Natural S’Albufera des Grau,Spain
Pererenan Beach,Indonesia
Parc Natural S’Albufera des Grau,Spain
Orang-utan Feedings,Indonesia
Tambunan Rafflesia Reserve,Malaysia
Torre d’en Galmés,Spain
Wind Cave,Malaysia
Pantai Tempurung,Malaysia
Castillo de Calatrava la Nueva,Spain
Deer Cave & Lang Cave,Malaysia
Castillo de Oropesa,Spain
Basílica de Nuestra Señora del Prado,Spain
Basílica de Nuestra Señora del Prado,Spain
Setia Darma House of Mask and Puppets,Indonesia
Air Terjun Yeh Mampeh,Indonesia
Schauinsland Peak,Germany
Pura Rambut Siwi,Indonesia
Parque Arqueológico de Carranque,Spain
Lookout,"Indonesia,Bali"
Gunung Kawi,Indonesia
Pura Puseh Batuan & Pura Dasar Batuan,Indonesia
Setia Darma House of Mask and Puppets,Indonesia
Margarana,Indonesia
Pura Luhur Batukau,Indonesia
Sekumpul Waterfall,Indonesia
Ceking Terraces,Indonesia
Singapadu Banyan Tree,Indonesia
Vogtsbauernhof,Germany
Platges de Comte,Spain
Banyu Wana Amertha Waterfalls,Indonesia
Balàfia,Spain
Ibizkus,Spain
Far de Portinatx,Spain
Pura Goa Lawah,Indonesia
Benirràs,Spain
Far de Portinatx,Spain
Pantai Mawan,Indonesia
Gunung Rinjani,Indonesia
Puig de Missa,Spain
Banyu Wana Amertha Waterfalls,Indonesia
Pura Pancering Jagat,Indonesia
Pura Besakih,Indonesia
Pantai Lebih,Indonesia
Plaza Mayor,Spain
Castillo de Calatañazor,Spain
Numancia's Roman Ruins,Spain
Ermita de San Bartolomé,Spain
Ermita de San Saturio,Spain
Blue Lagoon,Indonesia
Pura Lingsar,Indonesia
Iglesia de Nuestra Señora del Rivero,Spain
Pura Dalem Penetaran Ped,Indonesia
Ermita de San Frutos,Spain
Dalt Vila,Spain
Palacio Condes de Miranda,Spain
Monasterio de San Miguel de Escalada,Spain
Iglesia de San Martín,Spain
Castillo,Spain
Catedral,Spain
Centro de Lobo Ibérico de Castilla y León,Spain
Colegiata de San Cosme y Damián,Spain
Santuario de La Peregrina,Spain
Pantai Batu Bolong,Indonesia
Pura Luhur Ulu Watu,Indonesia
Garuda Wisnu Kencana Cultural Park,Indonesia
Chiesa di San Giorgio Maggiore,"Italy,Venice"
Castillo Templario,Spain
Basilica di Santa Maria Assunta,"Italy,Venice"
Roman Forum,"Italy,Rome"
Cercado Osero,"Spain,Asturias"
Schloss Thurn und Taxis,Germany
Catedral de Tarragona,Spain
Real Convento de Santa Clara,Spain
Karmeliterkirche St Josef,Germany
Plaza Mayor,Spain
Coca Castle,Spain
Sant Climent de Taüll,Spain
Deutsche Bahn Museum,Germany
Església de Sant Andrèu,Spain
Reial Monestir de Santes Creus,Spain
Porta Nigra,Germany
Monestir de Sant Joan les Fonts,Spain
Castillo de Olivenza,Spain
Castillo de Feria,Spain
Estany de Puigcerdà,Spain
Sierra de Irta,Spain
Castillo de Luna,Spain
Iglesia de Rocamador,Spain
Santuari de la Mare de Déu,Spain
Església de Sant Pere,Spain
Museo Picasso Málaga,"Spain,Andalucía"
Puente Romano,Spain
Festung Ehrenbreitstein,Germany
Völkerkundemuseum,Germany
Loreley Besucherzentrum,Germany
Casa Museu Dalí,Spain
Neues Schloss Schleissheim,Germany
Festung Königstein,Germany
Museo Civico,"Italy,Sardinia"
KZ-Gedenkstätte Dachau,Germany
Museu del Suro,Spain
Montagnana,Italy
Chiesa di San Salvatore,"Italy,Sardinia"
Monestir de Sant Feliu de Guíxols,Spain
Castell de Púbol,Spain
Area Archeologica di Tharros,"Italy,Sardinia"
Felsenburg Neurathen,Germany
Granadilla,Spain
Mosteiro de Monfero,Spain
Catedral de Santa Maria & Museu Diocesà,Spain
Dokumentationsstätte Regierungsbunker,Germany
Hambacher Schloss,Germany
Monastery Complex,"Spain,Navarra"
Teleférico de Fuente Dé,Spain
Schloss Neuenburg,Germany
Königssee,"Germany,Bavarian Alps"
La Cueva de Zugarramurdi,"Spain,Navarra"
Centro de Interpretación ‘Somiedo y El Oso’,"Spain,Asturias"
Santa Cueva,Spain
Castro de Coaña,"Spain,Asturias"
Cueva-Exposición Cabrales,Spain
Cercado Osero,"Spain,Asturias"
Iglesia de San Salvador de Valdediós,"Spain,Asturias"
Fuerte del Rastrillar,"Spain,Cantabria"
Cueva de Tito Bustillo,"Spain,Asturias"
Museo de Artes y Costumbres,"Spain,Andalucía"
Museo de Artes y Costumbres,"Spain,Andalucía"
Iglesia Rupestre de Santa María de Valverde,"Spain,Cantabria"
Museo de Altamira,"Spain,Cantabria"
Centro de Visitantes José A Valverde,"Spain,Andalucía"
Cueva de Covalanas,"Spain,Cantabria"
Centro de Visitantes del Torcal de Antequera,"Spain,Andalucía"
Roman Walls,Spain
Adega Algueira,Spain
Museo Archeologico,"Italy,Sardinia"
Monte de Santa Trega,Spain
Torre da Homenaxe,Spain
Gil Armada,Spain
Cabo de Home,Spain
Cabo de Home,Spain
Spiaggia Rena Bianca,"Italy,Sardinia"
Castro de Baroña,Spain
Gil Armada,Spain
Spiaggia della Pelosa,"Italy,Sardinia"
Iglesia-Fortaleza de Santa María de Ujué,"Spain,Navarra"
Basilica di San Gavino,"Italy,Sardinia"
Castro de Baroña,Spain
Museo Nazionale Sanna,"Italy,Sardinia"
Cabo Fisterra,Spain
Erlebniswelt Haus Meissen,Germany
Dolmen de Dombate,Spain
'Best Bank of the World',Spain
Cabo Fisterra,Spain
Cabo Touriñán,Spain
Meisterhäuser,"Germany,Lutherstadt Wittenberg & Saxony-Anhalt"
Museo Xardín de Man,Spain
Vatican Museums,Europe
Cabo Ortegal,Spain
Museo Mares de Cedeira,Spain
Parco Naturale Alpi Marittime,Italy
Via Appia Antica,"Italy,Rome"
Piazza Galimberti,Italy
Museo Nazionale Romano: Palazzo Massimo alle Terme,"Italy,Rome"
Trevi Fountain,"Italy,Rome"
Basilica di Santa Maria in Trastevere,"Italy,Rome"
Pantheon,"Italy,Rome"
Zanipolo,"Italy,Venice"
Basilica di San Giovanni in Laterano,"Italy,Rome"
The Ghetto,"Italy,Venice"
Museo e Galleria Borghese,"Italy,Rome"
Nikolaikirche,Germany
Schloss Linderhof,Germany
Castello di Lerici,Italy
Santa María de Eunate,"Spain,Navarra"
Basilica di San Marco,"Italy,Venice"
Bobastro,"Spain,Andalucía"
Las Médulas Gold Mines,Spain
Gallerie dell'Accademia,"Italy,Venice"
Universidad Civil,Spain
Castillo de Jimena,"Spain,Andalucía"
Casa Alpujarreña,"Spain,Andalucía"
O Sel Ling,"Spain,Andalucía"
Casa Museo Pedro Antonio de Alarcón,"Spain,Andalucía"
Mirador Era de la Platera,"Spain,Andalucía"
Casa Alpujarreña,"Spain,Andalucía"
Punta Paloma,"Spain,Andalucía"
Parque Natural de la Breña y Marismas del Barbate,"Spain,Andalucía"
Castillo de San Miguel,"Spain,Andalucía"
Mirador Era de la Platera,"Spain,Andalucía"
Castillo Árabe de Salobreña,"Spain,Andalucía"
Bodegas Tradición,"Spain,Andalucía"
Mirador de Laujar,"Spain,Andalucía"
Playa San Pedro,"Spain,Andalucía"
Plaza La Glorieta,"Spain,Andalucía"
Mirador de Laujar,"Spain,Andalucía"
Sacra Capilla de El Salvador,"Spain,Andalucía"
Cuevas de Sorbas,"Spain,Andalucía"
Museo Picasso Málaga,"Spain,Andalucía"
Castillo de la Calahorra,"Spain,Andalucía"
Playa Central,"Spain,Andalucía"
Playa de Matalascañas,"Spain,Andalucía"
Punta del Moral,"Spain,Andalucía"
Museo Batalla de las Navas de Tolosa,"Spain,Andalucía"
Museo Batalla de las Navas de Tolosa,"Spain,Andalucía"
Alcazaba,"Spain,Andalucía"
Castillo Árabe,"Spain,Andalucía"
Castillo de los Sotomayor,"Spain,Andalucía"
Sacra Capilla de El Salvador,"Spain,Andalucía"
Flecha del Rompido,"Spain,Andalucía"
Oasys Mini Hollywood,"Spain,Andalucía"
Alhambra,"Spain,Andalucía"
Castillo de Almodóvar,"Spain,Andalucía"
Parque Nacional de Doñana,"Spain,Andalucía"
Mezquita,"Spain,Andalucía"
Mezquita,"Spain,Andalucía"
Cueva de los Murciélagos,"Spain,Andalucía"
Parroquia de la Asunción,"Spain,Andalucía"
Il Vittoriale degli Italiani,Italy
Museo Civico,"Italy,Tuscany"
Schloss Nymphenburg,Germany
Piazza San Benedetto,"Italy,Umbria"
Montefioralle,"Italy,Tuscany"
Monasterio de la Rábida,"Spain,Andalucía"
Mezquita,"Spain,Andalucía"
Real Alcázar,"Spain,Andalucía"
Punta Paloma,"Spain,Andalucía"
Basílica de San Francisco El Grande,"Spain,Madrid"
Mezquita,"Spain,Andalucía"
Gran Vía,"Spain,Madrid"
Pieve di San Leolino,"Italy,Tuscany"
Fundación Amantes,Spain
Museo Lázaro Galdiano,"Spain,Madrid"
Catedral de Santiago de Compostela,Spain
Casa Chianti Classico,"Italy,Tuscany"
Estadio Santiago Bernabéu,"Spain,Madrid"
Centro de Interpretación Laguna de Gallocanta,Spain
Santuario de San Miguel de Aralar,"Spain,Navarra"
Iglesia de San Pedro,Spain
Museo de la Paz de Gernika,"Spain,Basque Country"
Iglesia de San Martín,Spain
Palacio Real,"Spain,Navarra"
Vivanco,"Spain,La Rioja"
Casa Palacio de Sada,Spain
Monasterio de San Juan de la Peña,Spain
El Barranco Perdido,"Spain,La Rioja"
Monasterio de Irantzu,"Spain,Navarra"
San Juan de Gaztelugatxe,"Spain,Basque Country"
Albaola Foundation,"Spain,Basque Country"
Casco Histórico,"Spain,Basque Country"
Nationalpark-Zentrum Königsstuhl,Germany
Heiligendamm,Germany
Müritz National Park,Germany
Schlosskirche,Germany
Historisch-Technisches Museum,Germany
Grotta Gigante,Italy
Denkort Bunker Valentin,Germany
Marine Ehrenmal,Germany
Schloss Ludwigslust,Germany
Schloss & Gardens,Germany
Naturpark Holsteinische Schweiz,Germany
Emil Nolde Stiftung,Germany
Nationalpark Kellerwald-Edersee,Germany
Kunsthalle,Germany
Erlebniszentrum Naturgewalten,"Germany,North Frisian Islands"
Nibelungenhalle,Germany
Rathaus,Germany
Schloss Hämelschenburg,Germany
Inselmuseum,Germany
Ruhr Museum,Germany
Herkules,Germany
Basilica di Santa Maria Assunta,Italy
Aachener Dom,Germany
Archäologischer Park,Germany
Schloss Linderhof,Germany
Schloss & Gardens,Germany
St Maria zur Wiese,Germany
Herrenhäuser Gärten,Germany
Park Güell,"Spain,Barcelona"
La Catedral,"Spain,Barcelona"
Gedenkstätte Berliner Mauer,"Germany,Berlin"
Museu Nacional d’Art de Catalunya,"Spain,Barcelona"
Barça Stadium Tour & Museum,"Spain,Barcelona"
La Sagrada Família,"Spain,Barcelona"
Zitadelle Spandau,Germany
Schloss Köpenick,Germany
Arnold Arboretum,"USA,Boston"
East Side Gallery,"Germany,Berlin"
Gemäldegalerie,"Germany,Berlin"
Schloss Charlottenburg,"Germany,Berlin"
Sammlung Boros,"Germany,Berlin"
Palau Güell,"Spain,Barcelona"
Lost Continent,"USA,Florida"
Museu Marítim,"Spain,Barcelona"
Museu Picasso,"Spain,Barcelona"
Reichstag,"Germany,Berlin"
Jüdisches Museum,"Germany,Berlin"
Charles Hosmer Morse Museum of American Art,"USA,Florida"
Wizarding World of Harry Potter – Diagon Alley,"USA,Florida"
Africa,"USA,Florida"
Ston Walls,Croatia
Fantasyland,"USA,Florida"
Banteay Srei,Cambodia
World Showcase,"USA,Florida"
Central Park,"USA,New York City"
Legoland,"USA,Florida"
Sunset Boulevard,"USA,Florida"
Lower East Side Tenement Museum,"USA,New York City"
High Line,"USA,New York City"
Chinatown,"USA,New York City"
Kirstenbosch National Botanical Garden,Africa
Nisela Safaris,
Mkhaya Game Reserve,
Grand Central Terminal,"USA,New York City"
Qacha's Nek Snake Park,Lesotho
Malolotja Nature Reserve,
Mantenga Cultural Village & Nature Reserve,
Qacha's Nek Snake Park,Lesotho
Katse Botanical Garden,Lesotho
South African Astronomical Observatory,South Africa
Liphofung Cave Cultural & Historical Site,Lesotho
Ts'ehlanyane National Park,Lesotho
Kuru Art Project,Botswana
Interpretation Centre,South Africa
Batlhako Dam Hide,"South Africa,North West Province"
Mokala National Park,South Africa
South African Hall of Fame,"South Africa,North West Province"
Welwitschia Country Market,"South Africa,North West Province"
Kings Walden,South Africa
Debengeni Falls,South Africa
Debengeni Falls,South Africa
Modjadji Nature Reserve,South Africa
Confluence Viewpoints,South Africa
Hoedspruit Endangered Species Centre,South Africa
Mapungubwe National Park,South Africa
Thohoyandou Arts & Culture Centre,South Africa
Lenong Viewing Point,South Africa
Thohoyandou Arts & Culture Centre,South Africa
St John’s Church,South Africa
Marakele National Park,South Africa
Makapan’s Caves,South Africa
Marakele National Park,South Africa
Maropeng,South Africa
Sabi Sand Game Reserve,South Africa
Blyde River Canyon Nature Reserve,South Africa
Painted Stone Garden,South Africa
Willem Pretorius Game Reserve,South Africa
Moolmanshoek Private Game Reserve,South Africa
Blyde River Canyon Nature Reserve,South Africa
Basotho Cultural Village,South Africa
Venterskroon Information Centre,South Africa
Willem Pretorius Game Reserve,South Africa
KwaZulu-Natal Museum,South Africa
Talana Heritage Park & Battlefield,South Africa
Himeville Museum,South Africa
Rorke’s Drift Battlefield,South Africa
Blood River Heritage Site,South Africa
Lammergeier Hide,South Africa
Royal Natal National Park,South Africa
Highmoor Nature Reserve,South Africa
Highmoor Nature Reserve,South Africa
Falcon Ridge,South Africa
Royal Natal National Park,South Africa
Lammergeier Hide,South Africa
Didima San Rock Art Centre,South Africa
Cape Vidal,South Africa
Mphafa Waterhole & Hide,South Africa
iSimangaliso Wetland Park,South Africa
Kosi Bay,South Africa
Ithala Game Reserve,South Africa
Spirit of Emakhosini Monument,South Africa
Shakaland,South Africa
Luthuli Museum,South Africa
Natal Sharks Board,South Africa
Lake Eland Game Reserve,South Africa
Mkambati Nature Reserve,South Africa
Luthuli Museum,South Africa
Umtamvuna Nature Reserve,South Africa
Nelson Mandela Museum,South Africa
Valley of Desolation,South Africa
Valley of Desolation,South Africa
Nahoon Beach,South Africa
Stadsaal Caves,South Africa
Big Tree,South Africa
West Coast Fossil Park,South Africa
Namaqua Wines,South Africa
Sevilla Rock Art Trail,South Africa
Bird Island,South Africa
Togryers’ Museum,South Africa
Swartberg Nature Reserve,South Africa
Dias Museum Complex,South Africa
Fransie Pienaar Museum,South Africa
Cango Caves,South Africa
Babylonstoren,South Africa
Agulhas National Park,South Africa
Law Ting Holm,Scotland
Jorgensen's Distillery,South Africa
Old Man of Hoy,Scotland
Walker Bay Nature Reserve,South Africa
Forsinard Flows Visitor Centre,Scotland
Table Mountain,"South Africa,Cape Town"
Kirstenbosch National Botanical Garden,"South Africa,Cape Town"
Robben Island,"South Africa,Cape Town"
Cinco Ceibas,Costa Rica
Meerendal,"South Africa,Cape Town"
District Six Museum,"South Africa,Cape Town"
Tiskita Jungle Lodge,Costa Rica
Cloudbridge Nature Reserve,Costa Rica
Punta Uva,Costa Rica
Sitio Arqueológico Finca 6,Costa Rica
Wilson Botanical Garden,Costa Rica
Royal Butterflies,Costa Rica
La Paz Waterfall Gardens,Costa Rica
Boston Public Library,"USA,Boston"
Institute of Contemporary Art,"USA,Boston"
Public Garden,"USA,Boston"
Museum of Science,"USA,Boston"
Fenway Park,"USA,Boston"
Cala Goloritzè,"Italy,Sardinia"
Old State House,"USA,Boston"
Ruins of Segesta,"Italy,Sicily"
Rocce Rosse,"Italy,Sardinia"
Capo Figari,"Italy,Sardinia"
Tiscali,"Italy,Sardinia"
Teatro Greco,"Italy,Sicily"
Handa Island Nature Reserve,Scotland
Il Golgo,"Italy,Sardinia"
Villa Romana del Casale,"Italy,Sicily"
Castel del Monte,Italy
Punta Campanella Marine Reserve,Italy
Santa Maria dell’Isola,Italy
Santuario di San Francesco di Paola,Italy
Duomo di Cefalù,"Italy,Sicily"
Museum & Nature Centre,"Italy,Puglia"
Cappella Bacci,"Italy,Tuscany"
Basilica di San Francesco,Italy
Trentova-Tresino,Italy
Duomo,"Italy,Tuscany"
Rione Terra,Italy
Museo Paleolitico di Isernia,Italy
Museo Villa Napoleonica di San Martino,"Italy,Tuscany"
Necropoli di Sovana,"Italy,Tuscany"
Museo d'Arte di Palazzo Gavotti,"Italy,The Italian Riviera"
Santuario della Madonna del Monte,"Italy,Tuscany"
Fossola Beach,Italy
Vernazza Harbour,Italy
Calamita: Miniere di Capoliveri,"Italy,Tuscany"
Punta Bonfiglio,Italy
Belvedere di Santa Maria,Italy
Torre di Barbaresco,Italy
Wolfsoniana,"Italy,The Italian Riviera"
Leaning Tower,"Italy,Tuscany"
Château de Chenonceau,France
Convento dei Cappuccini,Italy
Ballon d’Alsace,France
Maison des Étangs,France
Les Pommes Tapées,France
Château de Chambord,France
Pointe de Pen-Hir,France
Musée des Beaux-Arts,France
Cathédrale Ste-Croix,France
Phare & Musée de Verzenay,France
Albert Levasseur,France
Normandy American Cemetery & Memorial,France
Musée du Débarquement de Utah Beach,France
Château de Chantilly,France
Longues-sur-Mer Battery,France
Château de Fontainebleau,France
Disneyland Resort Paris,France
Juno Beach Centre,France
Pointe du Grouin,France
Musée du Débarquement,France
Abbaye du Mont St-Michel,France
Château de Versailles,France
Maison et Jardins de Claude Monet,France
Le Mémorial – Un Musée pour la Paix,France
Cathédrale Notre-Dame de Coutances,France
Cathédrale Notre Dame,France
Cathédrale de Notre Dame,France
Falaise d’Aval,France
Château Gaillard,France
Maison et Jardins de Claude Monet,France
Falaise d’Aval,France
Northwest Highlands Geopark,"Scotland,Northern Highlands & Islands"
Dingwall Museum,Scotland
Dunrobin Castle,"Scotland,Northern Highlands & Islands"
Hackfalls Arboretum,New Zealand
Wick Heritage Centre,Scotland
Lake Wakatipu,New Zealand
Ulva Island,New Zealand
Lost Gypsy Gallery,New Zealand
Transport World,"New Zealand,Fiordland & Southland"
McCracken's Rest,New Zealand
Purakaunui Falls,New Zealand
Mirror Lakes,New Zealand
Blue Penguin Colony,"New Zealand,Dunedin & Otago"
Blue Penguin Colony,New Zealand
Ophir Post Office,"New Zealand,Dunedin & Otago"
Church of the Good Shepherd,"New Zealand,Christchurch & Canterbury"
Arthur's Pass National Park,New Zealand
Moeraki Boulders,New Zealand
Petr Hlavacek Gallery,New Zealand
Ophir Post Office,New Zealand
Marble Hill,New Zealand
Andris Apse Okarito Gallery,New Zealand
Formerly the Blackball Hilton,New Zealand
St Mary’s Church,New Zealand
Te Mata Peak,"New Zealand,The East Coast"
Guy Menzies Site,New Zealand
Farewell Spit,"New Zealand,Marlborough & Nelson"
Ngarua Caves,New Zealand
Pūkaha National Wildlife Centre,New Zealand
Wairoa Museum,"New Zealand,The East Coast"
Whangamomona,New Zealand
Waimangu Volcanic Valley,New Zealand
KD's Elvis Presley Museum,New Zealand
Te Āpiti Wind Farm,New Zealand
Historic Cape Light & Museum,New Zealand
Mt Karioi,New Zealand
Whanganui Regional Museum,New Zealand
Moko Artspace,New Zealand
Hairy Feet Waitomo,New Zealand
Sanctuary Mountain Maungatautari,New Zealand
Rangiriri Heritage Centre,New Zealand
Broken Hills Gold-Mine Workings,New Zealand
Govett-Brewster Art Gallery/Len Lye Centre,New Zealand
Waterworks,New Zealand
Rapaura Water Gardens,New Zealand
Te Matua Ngahere,New Zealand
Gold Discovery Centre,New Zealand
Tawharanui Regional Park,New Zealand
Goat Island Marine Reserve,New Zealand
Mahurangi Regional Park,New Zealand
Historic Richmond Town,"USA,New York City"
Bronx Zoo,"USA,New York City"
Cathedral Church of St John the Divine,"USA,New York City"
Hiram M Chittenden Locks,"USA,Seattle"
Santuari de Sant Salvador,Spain
Arataki,New Zealand
Ellis Island,"USA,New York City"
Metropolitan Museum of Art,"USA,New York City"
MoMA PS1,"USA,New York City"
Holy Island,Scotland
Sheila's Cottage,Scotland
Centro Turistico Las Iguanas,Costa Rica
Union Square,"USA,New York City"
Cinco Ceibas,Costa Rica
Playa Rincon de San Josecito,Costa Rica
Casa Orquideas,Costa Rica
La Playita,"Costa Rica,Central Pacific Coast"
Cataratas Nauyaca,"Costa Rica,Central Pacific Coast"
Playa San Isidro,Costa Rica
Parque Nacional Volcán Arenal,Costa Rica
São Salvador do Mundo,Portugal
Refugio Nacional de Fauna Silvestre Peñas Blancas,Costa Rica
Lankester Gardens,Costa Rica
Ruins of Ujarrás,Costa Rica
Burel Factory,Portugal
Santuário de Nossa Senhora da Peneda,Portugal
Praia da Ilha de Tavira,Portugal
Portmeirion Village,Wales
Fábrica de Brinquedos,Portugal
Palácio Nacional de Sintra,Portugal
Castelo do Montemor-o-Velho,Portugal
Tinkinswood Burial Chamber,Wales
Palácio Nacional de Sintra,Portugal
Milreu Ruins,Portugal
St Issui's Church,Wales
Morgabriel (Deyrul Umur) Monastery,Turkey
Mémorial Charles de Gaulle,France
Kale,Turkey
İhlasiye Medrese,Turkey
Plaça de Sa Concepció,Spain
Göbeklitepe,Turkey
Dörtkilise,Turkey
Zemevan Old Bridge,Turkey
Barhal Church-Mosque,Turkey
Oltu Kalesi,Turkey
Tortum Şelalesi,Turkey
Öşkvank Cathedral,Turkey
Engüzekkapı Kalesi,Turkey
Ziraat Botanik Tea Garden,Turkey
Terassa,Turkey
Hopa Etnografya Müzesi,Turkey
Ani,Turkey
Zilkale,Turkey
Kalepark,Turkey
Yukarı Kavron,Turkey
Amisos Tepesi,Turkey
Amasra Castle,Turkey
Aksaray Museum,Turkey
Boztepe Cable Car,Turkey
St Nicholas Monastery,Turkey
Yason Burnu,Turkey
Kızılçukur Viewpoint,Turkey
Direkli Kilise,Turkey
Eski Gümüşler Monastery,Turkey
Monastery Valley,Turkey
Karabaş Kilisesi,Turkey
Hacıbektaş Veli Museum,Turkey
Church of St Jean,Turkey
Nevşehir Museum,Turkey
Uçhisar Castle,Turkey
Çavuşin Old Village Ruins,Turkey
Sultanhanı,Turkey
St Helen's Church,Turkey
Ulu Cami & Darüşşifası,Turkey
Çorum Museum,Turkey
Boğazkale Museum,Turkey
Yer Kapı,Turkey
Mahmud Bey Cami,Turkey
